skill
python
sql
java
c++
machine learning
nlp
aws
docker
tensorflow
pytorch
react
node.js
html
css
javascript
git
kubernetes
scikit-learn
pandas
numpy
gcp
azure
rest api
graphql
langchain
langgraph
neo4j
n8n
rag
vector search
agentic workflows
automation
object-oriented programming
oop
algorithms
data structures
async patterns
